report_start,EUR,CHF,CZK,GBP,HRK,HUF
2019-04-01,1.1674332812,1.3051904084,30.1092717551,1,8.6702934927,374.7927805926
2019-05-01,1.1594471756,1.3260597347,29.7502550784,1,8.5949819126,374.4666542992
2019-06-01,1.1274846944,1.2643613363,29.1071448705,1,8.3642452054,365.6883857802
2019-07-01,1.1146035355,1.2417797989,28.397868878,1,8.2447223523,359.9054816202
2019-08-01,1.0970927043,1.2054854635,28.241360395,1,8.0998354361,358.2556226001
2019-09-01,1.1041793187,1.2045492188,28.6137028653,1,8.173466571,365.5606470491
2019-10-01,1.1241639031,1.2260131527,28.9359788657,1,8.3312911022,376.3588331179
2019-11-01,1.1626825412,1.2804622826,29.6646823551,1,8.673611757,381.7435587387
2019-12-01,1.1733646231,1.2904664124,29.9383983573,1,8.7280727486,391.6925784688
2020-01-01,1.175364363,1.2757404795,29.8636577339,1,8.7441231782,388.4931828867
2020-02-01,1.188001188,1.2704484704,29.9495099495,1,8.8434808435,400.4158004158
2020-03-01,1.1721268241,1.2440954111,29.7603000645,1,8.7552013128,395.674852019
2020-04-01,1.1304544427,1.1942120733,30.9394076419,1,8.623671716,417.5446529505
2020-05-01,1.150681779,1.2148898222,31.1800241643,1,8.7210172027,405.8684770727
2020-06-01,1.1151628695,1.1916630424,29.9521595129,1,8.4635285984,385.2330132816
2020-07-01,1.105827712,1.1743890302,29.4924250802,1,8.3650337277,392.0159239191
2020-08-01,1.1104571752,1.195851332,29.0662165614,1,8.3078853564,383.0522025918
2020-09-01,1.123911211,1.2211295308,29.4756954201,1,8.4652992414,397.8870469233
2020-10-01,1.1022563187,1.189003891,29.6705355863,1,8.3363645382,396.6910265313
2020-11-01,1.1085491309,1.1859258602,30.2090723661,1,8.3970379567,407.3363781483
2020-12-01,1.1136105481,1.2067083899,29.2155727299,1,8.4094300541,397.7816877881
2021-01-01,1.112309934,1.2015171908,29.1892372891,1,8.4000533909,404.7584618978
2021-02-01,1.1337868481,1.2263038549,29.4501133787,1,8.5878684807,404.0249433107
2021-03-01,1.1552947157,1.2724415999,30.138173248,1,8.7542457081,419.2102405324
2021-04-01,1.1737778039,1.3027759845,30.6179940137,1,8.8860848641,424.7197605493
